Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1083713,-,-,-,35.73,-79.18,-5,156,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,Clearsky GHI,Cloud Type
2006,1,1,0,0,0,0,6
2006,1,1,0,30,0,0,7
2006,1,1,1,0,0,0,7
2006,1,1,1,30,0,0,7
2006,1,1,2,0,0,0,8
2006,1,1,2,30,0,0,0
2006,1,1,3,0,0,0,0
2006,1,1,3,30,0,0,1
2006,1,1,4,0,0,0,7
2006,1,1,4,30,0,0,0
2006,1,1,5,0,0,0,0
2006,1,1,5,30,0,0,0
2006,1,1,6,0,0,0,0
2006,1,1,6,30,0,0,0
2006,1,1,7,0,0,0,7
2006,1,1,7,30,0,0,7
2006,1,1,8,0,31,64,7
2006,1,1,8,30,72,147,4
2006,1,1,9,0,190,233,4
2006,1,1,9,30,314,314,0
2006,1,1,10,0,386,386,1
2006,1,1,10,30,354,446,7
2006,1,1,11,0,492,492,1
2006,1,1,11,30,524,524,1
2006,1,1,12,0,541,541,0
2006,1,1,12,30,544,544,0
2006,1,1,13,0,532,532,0
2006,1,1,13,30,373,505,7
2006,1,1,14,0,368,464,8
2006,1,1,14,30,409,409,0
2006,1,1,15,0,301,342,7
2006,1,1,15,30,264,264,0
2006,1,1,16,0,179,179,0
2006,1,1,16,30,93,93,0
2006,1,1,17,0,20,20,0
2006,1,1,17,30,0,0,0
2006,1,1,18,0,0,0,0
2006,1,1,18,30,0,0,0
2006,1,1,19,0,0,0,0
2006,1,1,19,30,0,0,0
2006,1,1,20,0,0,0,1
2006,1,1,20,30,0,0,7
2006,1,1,21,0,0,0,0
2006,1,1,21,30,0,0,7
2006,1,1,22,0,0,0,7
2006,1,1,22,30,0,0,7
2006,1,1,23,0,0,0,7
2006,1,1,23,30,0,0,7
2006,1,2,0,0,0,0,7
2006,1,2,0,30,0,0,6
2006,1,2,1,0,0,0,6
2006,1,2,1,30,0,0,6
2006,1,2,2,0,0,0,6
2006,1,2,2,30,0,0,7
2006,1,2,3,0,0,0,7
2006,1,2,3,30,0,0,7
2006,1,2,4,0,0,0,7
2006,1,2,4,30,0,0,7
2006,1,2,5,0,0,0,7
2006,1,2,5,30,0,0,7
2006,1,2,6,0,0,0,6
2006,1,2,6,30,0,0,7
2006,1,2,7,0,0,0,7
2006,1,2,7,30,0,0,7
2006,1,2,8,0,21,45,7
2006,1,2,8,30,54,114,7
2006,1,2,9,0,70,191,7
2006,1,2,9,30,28,264,7
2006,1,2,10,0,109,332,6
2006,1,2,10,30,191,389,7
2006,1,2,11,0,76,435,4
2006,1,2,11,30,28,466,4
2006,1,2,12,0,75,485,7
2006,1,2,12,30,87,487,6
2006,1,2,13,0,122,477,6
2006,1,2,13,30,75,450,6
2006,1,2,14,0,73,413,6
2006,1,2,14,30,72,360,6
2006,1,2,15,0,45,300,6
2006,1,2,15,30,76,228,6
2006,1,2,16,0,39,152,6
2006,1,2,16,30,20,77,6
2006,1,2,17,0,4,16,6
2006,1,2,17,30,0,0,6
2006,1,2,18,0,0,0,6
2006,1,2,18,30,0,0,6
2006,1,2,19,0,0,0,6
2006,1,2,19,30,0,0,3
2006,1,2,20,0,0,0,3
2006,1,2,20,30,0,0,3
2006,1,2,21,0,0,0,3
2006,1,2,21,30,0,0,3
2006,1,2,22,0,0,0,1
2006,1,2,22,30,0,0,7
2006,1,2,23,0,0,0,7
2006,1,2,23,30,0,0,6
2006,1,3,0,0,0,0,6
2006,1,3,0,30,0,0,6
2006,1,3,1,0,0,0,6
2006,1,3,1,30,0,0,8
2006,1,3,2,0,0,0,7
2006,1,3,2,30,0,0,3
2006,1,3,3,0,0,0,4
2006,1,3,3,30,0,0,4
2006,1,3,4,0,0,0,4
2006,1,3,4,30,0,0,7
