Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1083713,-,-,-,35.73,-79.18,-5,156,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,Clearsky GHI,Cloud Type
2009,1,1,0,0,0,0,0
2009,1,1,0,30,0,0,0
2009,1,1,1,0,0,0,0
2009,1,1,1,30,0,0,0
2009,1,1,2,0,0,0,0
2009,1,1,2,30,0,0,0
2009,1,1,3,0,0,0,0
2009,1,1,3,30,0,0,0
2009,1,1,4,0,0,0,0
2009,1,1,4,30,0,0,0
2009,1,1,5,0,0,0,0
2009,1,1,5,30,0,0,0
2009,1,1,6,0,0,0,0
2009,1,1,6,30,0,0,0
2009,1,1,7,0,0,0,0
2009,1,1,7,30,0,0,0
2009,1,1,8,0,69,69,0
2009,1,1,8,30,157,157,0
2009,1,1,9,0,247,247,0
2009,1,1,9,30,331,331,0
2009,1,1,10,0,406,406,0
2009,1,1,10,30,469,469,0
2009,1,1,11,0,518,518,0
2009,1,1,11,30,553,553,0
2009,1,1,12,0,571,571,0
2009,1,1,12,30,574,574,0
2009,1,1,13,0,560,560,0
2009,1,1,13,30,530,530,0
2009,1,1,14,0,486,486,0
2009,1,1,14,30,427,427,0
2009,1,1,15,0,356,356,0
2009,1,1,15,30,275,275,0
2009,1,1,16,0,187,187,0
2009,1,1,16,30,98,98,0
2009,1,1,17,0,22,22,0
2009,1,1,17,30,0,0,0
2009,1,1,18,0,0,0,0
2009,1,1,18,30,0,0,0
2009,1,1,19,0,0,0,0
2009,1,1,19,30,0,0,0
2009,1,1,20,0,0,0,0
2009,1,1,20,30,0,0,0
2009,1,1,21,0,0,0,0
2009,1,1,21,30,0,0,0
2009,1,1,22,0,0,0,0
2009,1,1,22,30,0,0,0
2009,1,1,23,0,0,0,0
2009,1,1,23,30,0,0,0
2009,1,2,0,0,0,0,0
2009,1,2,0,30,0,0,0
2009,1,2,1,0,0,0,8
2009,1,2,1,30,0,0,7
2009,1,2,2,0,0,0,7
2009,1,2,2,30,0,0,1
2009,1,2,3,0,0,0,0
2009,1,2,3,30,0,0,0
2009,1,2,4,0,0,0,4
2009,1,2,4,30,0,0,4
2009,1,2,5,0,0,0,4
2009,1,2,5,30,0,0,4
2009,1,2,6,0,0,0,4
2009,1,2,6,30,0,0,4
2009,1,2,7,0,0,0,8
2009,1,2,7,30,0,0,7
2009,1,2,8,0,3,52,7
2009,1,2,8,30,9,127,4
2009,1,2,9,0,7,204,4
2009,1,2,9,30,10,281,4
2009,1,2,10,0,39,345,4
2009,1,2,10,30,301,403,4
2009,1,2,11,0,100,452,4
2009,1,2,11,30,78,484,4
2009,1,2,12,0,68,501,4
2009,1,2,12,30,54,503,4
2009,1,2,13,0,228,478,4
2009,1,2,13,30,117,451,4
2009,1,2,14,0,65,417,4
2009,1,2,14,30,167,364,4
2009,1,2,15,0,237,305,4
2009,1,2,15,30,199,232,7
2009,1,2,16,0,138,158,7
2009,1,2,16,30,70,80,7
2009,1,2,17,0,17,17,0
2009,1,2,17,30,0,0,0
2009,1,2,18,0,0,0,0
2009,1,2,18,30,0,0,7
2009,1,2,19,0,0,0,7
2009,1,2,19,30,0,0,4
2009,1,2,20,0,0,0,0
2009,1,2,20,30,0,0,0
2009,1,2,21,0,0,0,0
2009,1,2,21,30,0,0,0
2009,1,2,22,0,0,0,0
2009,1,2,22,30,0,0,0
2009,1,2,23,0,0,0,0
2009,1,2,23,30,0,0,0
2009,1,3,0,0,0,0,0
2009,1,3,0,30,0,0,0
2009,1,3,1,0,0,0,0
2009,1,3,1,30,0,0,0
2009,1,3,2,0,0,0,0
2009,1,3,2,30,0,0,0
2009,1,3,3,0,0,0,0
2009,1,3,3,30,0,0,0
2009,1,3,4,0,0,0,0
2009,1,3,4,30,0,0,0
2009,1,3,5,0,0,0,0
2009,1,3,5,30,0,0,0
2009,1,3,6,0,0,0,0
2009,1,3,6,30,0,0,0
2009,1,3,7,0,0,0,0
2009,1,3,7,30,0,0,0
2009,1,3,8,0,57,57,0
2009,1,3,8,30,137,137,1
2009,1,3,9,0,103,221,3
2009,1,3,9,30,126,300,3
2009,1,3,10,0,185,374,3
2009,1,3,10,30,285,434,3
2009,1,3,11,0,482,482,0
2009,1,3,11,30,515,515,0
2009,1,3,12,0,533,533,0
2009,1,3,12,30,536,536,0
2009,1,3,13,0,523,523,0
2009,1,3,13,30,496,496,0
2009,1,3,14,0,453,453,0
2009,1,3,14,30,399,399,0
2009,1,3,15,0,332,332,0
2009,1,3,15,30,256,256,0
2009,1,3,16,0,173,173,0
2009,1,3,16,30,90,90,1
2009,1,3,17,0,21,21,4
2009,1,3,17,30,0,0,3
2009,1,3,18,0,0,0,4
2009,1,3,18,30,0,0,7
2009,1,3,19,0,0,0,7
2009,1,3,19,30,0,0,7
2009,1,3,20,0,0,0,7
2009,1,3,20,30,0,0,7
2009,1,3,21,0,0,0,7
2009,1,3,21,30,0,0,7
2009,1,3,22,0,0,0,7
2009,1,3,22,30,0,0,6
2009,1,3,23,0,0,0,6
2009,1,3,23,30,0,0,6
2009,1,4,0,0,0,0,7
2009,1,4,0,30,0,0,7
2009,1,4,1,0,0,0,7
2009,1,4,1,30,0,0,7
2009,1,4,2,0,0,0,7
2009,1,4,2,30,0,0,7
2009,1,4,3,0,0,0,7
2009,1,4,3,30,0,0,7
2009,1,4,4,0,0,0,7
2009,1,4,4,30,0,0,7
2009,1,4,5,0,0,0,7
2009,1,4,5,30,0,0,6
2009,1,4,6,0,0,0,7
2009,1,4,6,30,0,0,7
2009,1,4,7,0,0,0,7
2009,1,4,7,30,0,0,8
2009,1,4,8,0,27,48,7
2009,1,4,8,30,68,120,7
2009,1,4,9,0,37,198,8
2009,1,4,9,30,38,274,4
2009,1,4,10,0,52,343,4
2009,1,4,10,30,64,402,4
2009,1,4,11,0,160,448,4
2009,1,4,11,30,78,481,4
2009,1,4,12,0,206,501,4
2009,1,4,12,30,207,505,3
2009,1,4,13,0,242,488,3
2009,1,4,13,30,229,462,3
2009,1,4,14,0,200,424,4
2009,1,4,14,30,175,372,4
2009,1,4,15,0,93,309,4
2009,1,4,15,30,119,237,3
2009,1,4,16,0,160,160,0
2009,1,4,16,30,83,83,0
2009,1,4,17,0,19,19,0
2009,1,4,17,30,0,0,0
2009,1,4,18,0,0,0,0
2009,1,4,18,30,0,0,0
2009,1,4,19,0,0,0,0
2009,1,4,19,30,0,0,0
2009,1,4,20,0,0,0,0
2009,1,4,20,30,0,0,0
2009,1,4,21,0,0,0,0
2009,1,4,21,30,0,0,0
2009,1,4,22,0,0,0,0
2009,1,4,22,30,0,0,0
2009,1,4,23,0,0,0,0
2009,1,4,23,30,0,0,0
2009,1,5,0,0,0,0,0
2009,1,5,0,30,0,0,0
2009,1,5,1,0,0,0,0
2009,1,5,1,30,0,0,1
2009,1,5,2,0,0,0,1
2009,1,5,2,30,0,0,1
2009,1,5,3,0,0,0,1
2009,1,5,3,30,0,0,3
2009,1,5,4,0,0,0,3
2009,1,5,4,30,0,0,3
2009,1,5,5,0,0,0,1
2009,1,5,5,30,0,0,3
2009,1,5,6,0,0,0,1
2009,1,5,6,30,0,0,3
2009,1,5,7,0,0,0,0
2009,1,5,7,30,0,0,0
2009,1,5,8,0,57,57,0
2009,1,5,8,30,20,136,3
2009,1,5,9,0,55,218,3
2009,1,5,9,30,75,296,7
2009,1,5,10,0,66,360,4
2009,1,5,10,30,77,419,4
2009,1,5,11,0,169,463,3
2009,1,5,11,30,151,496,4
2009,1,5,12,0,183,512,4
2009,1,5,12,30,166,515,4
2009,1,5,13,0,165,504,4
2009,1,5,13,30,112,478,4
2009,1,5,14,0,82,439,4
2009,1,5,14,30,179,386,4
2009,1,5,15,0,221,323,4
2009,1,5,15,30,146,250,4
2009,1,5,16,0,127,170,7
2009,1,5,16,30,67,90,3
2009,1,5,17,0,16,22,7
2009,1,5,17,30,0,0,7
2009,1,5,18,0,0,0,7
2009,1,5,18,30,0,0,7
2009,1,5,19,0,0,0,4
2009,1,5,19,30,0,0,4
2009,1,5,20,0,0,0,8
2009,1,5,20,30,0,0,4
2009,1,5,21,0,0,0,4
2009,1,5,21,30,0,0,4
2009,1,5,22,0,0,0,4
2009,1,5,22,30,0,0,7
2009,1,5,23,0,0,0,8
2009,1,5,23,30,0,0,7
2009,1,6,0,0,0,0,6
2009,1,6,0,30,0,0,6
2009,1,6,1,0,0,0,6
2009,1,6,1,30,0,0,6
2009,1,6,2,0,0,0,6
2009,1,6,2,30,0,0,6
2009,1,6,3,0,0,0,7
2009,1,6,3,30,0,0,6
2009,1,6,4,0,0,0,7
2009,1,6,4,30,0,0,7
2009,1,6,5,0,0,0,6
2009,1,6,5,30,0,0,6
2009,1,6,6,0,0,0,7
2009,1,6,6,30,0,0,7
2009,1,6,7,0,0,0,6
2009,1,6,7,30,0,0,6
2009,1,6,8,0,1,51,7
2009,1,6,8,30,4,125,4
2009,1,6,9,0,10,204,6
2009,1,6,9,30,29,280,6
2009,1,6,10,0,40,345,7
2009,1,6,10,30,95,404,4
2009,1,6,11,0,83,448,7
2009,1,6,11,30,130,481,4
2009,1,6,12,0,9,497,7
2009,1,6,12,30,64,501,7
2009,1,6,13,0,71,473,7
2009,1,6,13,30,46,448,7
2009,1,6,14,0,41,406,8
2009,1,6,14,30,165,355,7
2009,1,6,15,0,101,292,7
2009,1,6,15,30,33,223,6
2009,1,6,16,0,42,151,7
2009,1,6,16,30,21,77,6
2009,1,6,17,0,5,19,7
2009,1,6,17,30,0,0,6
2009,1,6,18,0,0,0,7
2009,1,6,18,30,0,0,7
2009,1,6,19,0,0,0,7
2009,1,6,19,30,0,0,7
2009,1,6,20,0,0,0,7
2009,1,6,20,30,0,0,7
2009,1,6,21,0,0,0,7
2009,1,6,21,30,0,0,7
2009,1,6,22,0,0,0,7
2009,1,6,22,30,0,0,7
2009,1,6,23,0,0,0,8
2009,1,6,23,30,0,0,1
2009,1,7,0,0,0,0,1
2009,1,7,0,30,0,0,7
2009,1,7,1,0,0,0,1
2009,1,7,1,30,0,0,1
2009,1,7,2,0,0,0,1
2009,1,7,2,30,0,0,1
2009,1,7,3,0,0,0,3
2009,1,7,3,30,0,0,7
2009,1,7,4,0,0,0,7
2009,1,7,4,30,0,0,7
2009,1,7,5,0,0,0,7
2009,1,7,5,30,0,0,6
2009,1,7,6,0,0,0,7
2009,1,7,6,30,0,0,8
2009,1,7,7,0,0,0,7
2009,1,7,7,30,0,0,7
2009,1,7,8,0,8,51,4
2009,1,7,8,30,21,125,4
2009,1,7,9,0,18,207,4
